red,green,blue
0,0,19
0,0,29
0,0,37
0,0,42
0,0,46
0,0,50
0,0,54
0,0,58
0,0,62
0,0,66
0,0,70
0,0,74
0,0,79
0,0,83
1,0,85
1,0,87
2,0,90
2,0,92
3,0,94
4,0,97
4,0,99
5,0,101
6,0,104
7,0,106
8,0,108
9,0,110
10,0,112
11,0,115
12,0,116
13,0,117
13,0,118
14,0,119
16,0,121
18,0,122
20,0,123
22,0,125
24,0,126
25,0,127
27,0,129
29,0,130
31,0,132
33,0,133
34,0,134
36,0,135
38,0,136
40,0,137
42,0,138
44,0,139
47,0,140
49,0,141
51,0,142
52,0,142
54,0,143
56,0,143
57,0,144
59,0,145
60,0,146
62,0,147
64,0,147
65,0,148
67,0,149
68,0,149
70,0,150
71,0,150
73,0,150
75,0,150
77,0,151
78,0,151
80,0,151
82,0,151
83,0,152
85,0,152
87,0,153
89,0,153
91,0,154
93,0,154
94,0,154
96,0,155
98,0,155
99,0,155
101,0,155
103,0,155
104,0,155
106,0,155
108,0,156
110,0,156
112,0,156
113,0,156
114,0,157
116,0,157
118,0,157
120,0,157
121,0,157
123,0,157
125,0,157
126,0,157
127,0,157
129,0,157
131,0,157
133,0,157
135,0,157
136,0,157
138,0,156
139,0,156
140,0,156
142,0,156
144,0,156
145,0,156
147,0,156
149,0,156
150,0,155
152,0,155
154,0,155
155,0,155
157,0,155
158,0,155
160,0,155
161,0,154
163,0,154
164,0,154
165,0,154
166,0,154
167,0,154
168,0,154
170,0,153
171,0,153
172,0,153
174,0,152
175,1,152
176,1,151
177,1,151
177,1,151
178,2,150
179,2,150
180,2,150
181,2,149
182,2,149
182,2,149
183,3,149
185,3,148
186,4,148
187,4,148
187,4,147
188,5,146
189,5,146
190,5,146
190,6,145
191,6,145
191,6,145
192,7,145
193,8,144
194,9,144
194,10,143
195,11,142
196,11,141
196,12,140
197,13,139
198,13,138
199,14,137
199,14,137
200,15,136
200,16,135
201,17,134
202,18,133
202,19,132
203,19,131
203,20,130
204,21,129
205,22,127
206,23,125
206,24,124
207,24,122
207,25,121
208,26,119
209,27,118
210,28,117
210,29,115
211,30,114
212,31,112
212,32,111
213,34,109
213,35,108
214,36,106
214,37,104
215,38,102
216,39,100
217,40,98
217,41,96
218,42,94
218,43,92
219,45,90
219,46,88
219,47,85
220,48,81
221,49,78
221,50,75
222,51,71
222,52,68
223,53,65
223,54,62
224,55,58
224,57,55
225,58,52
225,59,48
226,59,45
227,60,42
227,61,39
227,62,36
228,63,33
228,64,30
228,65,27
229,67,25
229,68,24
230,69,23
230,70,22
231,71,21
231,72,19
231,73,18
231,74,17
232,75,16
232,76,15
232,76,14
233,77,13
233,78,12
234,79,11
235,80,11
235,81,10
236,83,9
236,84,9
236,85,8
236,86,8
236,87,7
236,88,7
236,89,6
237,90,6
237,91,5
237,92,5
238,93,4
238,93,4
238,94,4
238,95,4
239,96,4
239,98,4
239,99,4
239,99,4
240,100,3
240,101,3
240,102,3
241,103,2
241,103,2
241,104,2
241,105,2
242,107,1
242,108,1
242,109,1
242,109,1
243,110,1
243,111,1
243,112,1
244,113,0
244,114,0
244,114,0
244,115,0
244,116,0
244,117,0
244,118,0
244,119,0
244,120,0
244,122,0
244,123,0
245,124,0
245,125,0
245,126,0
245,128,0
246,129,0
246,130,0
246,131,0
247,132,0
247,133,0
247,134,0
247,135,0
248,136,0
248,137,0
248,137,0
248,138,0
248,139,0
248,140,0
248,141,0
249,142,0
249,142,0
249,143,0
249,144,0
250,145,0
250,146,0
250,148,0
250,149,0
250,150,0
250,151,0
250,152,0
251,153,0
251,154,0
251,155,0
251,157,0
252,158,0
252,160,0
252,161,0
252,163,0
253,164,0
253,166,0
253,167,0
253,168,0
253,168,0
253,169,0
253,170,0
253,172,0
253,173,0
253,174,0
253,175,0
254,176,0
254,177,0
254,178,0
254,179,0
254,180,0
254,181,0
254,182,0
254,183,0
254,184,0
254,185,0
254,186,0
254,187,0
254,189,0
254,190,0
254,191,0
254,192,0
254,193,0
254,195,0
254,196,0
254,197,0
254,198,0
254,199,1
254,199,1
254,200,1
254,201,1
254,202,2
254,203,2
254,204,2
254,205,2
254,206,3
254,207,3
254,208,4
254,209,5
254,209,5
254,210,6
254,211,7
254,212,8
254,214,10
254,215,11
254,215,11
254,216,12
254,217,13
254,218,14
255,219,16
255,219,17
255,220,19
255,221,21
255,221,23
255,222,25
255,223,28
255,223,30
255,224,32
255,225,34
255,226,36
255,227,38
255,227,41
255,228,43
255,229,46
255,229,50
255,230,54
255,231,57
255,232,61
255,233,64
255,234,68
255,235,71
255,235,75
255,236,78
255,236,81
255,237,85
255,237,88
255,238,92
255,238,95
255,239,99
255,240,103
255,240,107
255,241,111
255,241,116
255,242,121
255,242,125
255,242,130
255,243,135
255,243,139
255,243,144
255,244,148
255,244,152
255,244,156
255,245,160
255,245,164
255,246,168
255,246,172
255,247,176
255,247,180
255,248,184
255,248,188
255,249,191
255,249,194
255,249,198
255,249,201
255,250,204
255,250,208
255,250,211
255,251,214
255,251,217
255,252,221
255,252,224
255,253,227
255,253,231
255,253,234
255,254,237
255,254,239
255,255,242
255,255,245
255,255,248
255,255,251
