red,green,blue
7,1,1
14,2,3
21,2,4
27,3,5
34,4,7
41,5,8
48,5,9
55,6,10
62,7,12
68,8,13
75,8,14
82,9,16
92,10,17
103,12,20
109,12,21
116,13,22
123,14,23
130,15,25
137,15,26
144,16,27
150,17,29
157,18,30
164,18,31
171,19,33
178,20,34
185,21,35
191,21,36
198,22,38
205,23,39
207,25,38
208,28,36
210,30,35
212,32,34
213,35,32
215,37,31
217,39,30
218,41,29
220,44,27
222,46,26
223,48,25
225,51,23
227,53,22
228,55,21
230,58,20
232,60,18
233,62,17
235,64,16
237,67,14
238,69,13
240,71,12
242,74,10
243,76,9
245,78,8
247,80,7
248,83,5
250,85,4
252,87,3
253,90,1
255,92,0
255,96,0
255,100,0
255,105,0
255,109,0
255,113,0
255,117,0
255,121,0
255,126,0
255,130,0
255,134,0
255,138,0
255,142,0
255,147,0
255,151,0
255,155,0
255,159,0
255,163,0
255,168,0
255,172,0
255,176,0
255,180,0
255,184,0
255,189,0
255,193,0
255,197,0
255,201,0
255,205,0
255,210,0
255,214,0
255,218,0
255,219,8
255,220,17
255,222,25
255,223,34
255,224,42
255,225,51
255,227,60
255,228,68
255,229,76
255,230,85
255,232,94
255,233,102
255,234,111
255,235,119
255,237,128
255,238,136
255,239,144
255,240,153
255,241,161
255,243,170
255,244,179
255,245,187
255,246,195
255,248,204
255,249,213
255,250,221
255,251,230
255,253,238
255,254,247
255,255,255
