red,green,blue
231,198,184
227,196,182
222,194,180
218,192,179
213,191,177
208,189,176
204,187,175
198,186,173
193,184,172
188,183,170
182,180,168
177,179,167
171,177,165
166,176,164
161,174,162
154,173,161
149,171,160
143,169,157
138,167,156
132,165,155
127,164,153
122,162,152
116,161,150
111,159,149
106,158,147
101,155,145
97,154,144
92,152,142
88,151,141
84,149,140
79,147,138
76,146,137
72,144,135
69,142,133
65,140,132
63,139,130
60,137,129
58,136,127
56,134,126
54,133,125
52,130,122
51,129,121
50,127,120
50,125,118
49,124,117
49,122,115
49,121,114
50,118,112
51,117,110
52,115,109
53,114,107
55,112,106
56,111,105
58,109,103
61,107,102
64,105,100
67,104,98
70,102,97
73,100,95
77,99,94
81,97,93
85,96,91
89,93,89
93,92,88
98,90,86
103,89,85
107,87,83
112,85,82
118,84,80
123,82,79
128,80,77
133,78,75
139,77,74
144,75,73
149,74,71
155,72,70
160,71,68
166,68,66
171,67,65
176,65,63
182,64,62
187,62,60
192,60,59
197,59,58
202,57,56
206,55,54
210,53,53
215,52,51
219,50,50
223,49,48
227,47,47
231,45,45
234,43,43
237,42,42
240,40,40
243,38,39
245,37,38
247,35,36
249,34,35
250,32,33
252,30,31
253,28,30
254,27,28
254,25,27
254,24,25
254,22,24
254,20,23
253,18,20
252,16,19
251,15,18
250,13,16
249,12,15
248,10,13
247,9,12
246,7,10
245,5,8
244,3,7
243,2,5
242,0,4
