red,green,blue
249,246,244
248,245,242
247,242,239
246,241,237
246,239,234
244,237,231
242,235,229
241,233,226
240,231,223
239,229,221
239,227,219
237,225,215
236,223,213
234,221,211
233,219,208
232,217,205
232,216,203
230,213,200
229,211,197
227,209,195
226,208,193
225,205,189
225,205,188
223,201,185
222,199,182
220,198,179
219,196,177
218,193,174
217,192,172
216,189,169
215,188,166
213,186,163
212,184,161
211,182,158
210,181,156
209,178,153
208,176,150
207,174,147
205,172,145
204,170,142
203,169,140
202,166,137
201,164,134
200,162,132
198,161,129
197,158,126
196,157,125
195,155,122
194,152,119
193,150,116
191,149,114
190,146,111
189,145,109
188,143,106
187,140,103
186,139,100
185,137,98
183,135,96
182,134,93
181,131,90
180,129,88
179,127,85
178,125,83
176,123,80
175,122,78
174,119,75
173,117,72
172,115,70
171,113,67
169,112,64
169,110,62
167,107,59
166,106,56
165,103,54
164,102,52
162,100,49
162,98,46
160,95,44
159,94,41
158,91,38
157,90,36
155,88,33
155,86,30
153,84,28
152,82,25
151,80,23
150,78,20
149,76,17
148,74,15
146,72,12
145,70,9
144,68,7
143,66,4
142,64,2
141,63,0
139,61,0
138,58,0
137,57,0
136,55,0
135,53,0
133,51,0
133,49,0
131,46,0
130,45,0
129,43,0
128,41,0
126,39,0
126,37,0
124,35,0
123,33,0
122,31,0
121,29,0
119,27,0
119,25,0
117,23,0
116,21,0
115,19,0
114,17,0
112,15,0
112,13,0
110,11,0
109,9,0
108,8,0
107,6,0
106,4,0
105,2,0
103,0,0
102,0,0
101,0,0
100,0,0
99,0,0
98,0,0
96,0,0
95,0,0
94,0,0
93,0,0
92,0,0
91,0,0
89,0,0
88,0,0
87,0,0
86,0,0
85,0,0
84,0,0
82,0,0
81,0,0
80,0,0
79,0,0
78,0,0
77,0,0
75,0,0
74,0,0
73,0,0
72,0,0
71,0,0
70,0,0
68,0,0
67,0,0
66,0,0
65,0,0
64,0,0
63,0,0
61,0,0
60,0,0
59,0,0
58,0,0
57,0,0
56,0,0
54,0,0
53,0,0
52,0,0
51,0,0
50,0,0
49,0,0
47,0,0
46,0,0
45,0,0
44,0,0
43,0,0
42,0,0
41,0,0
39,0,0
38,0,0
37,0,0
36,0,0
35,0,0
34,0,0
32,0,0
31,0,0
30,0,0
29,0,0
28,0,0
27,0,0
25,0,0
24,0,0
23,0,0
22,0,0
21,0,0
20,0,0
18,0,0
17,0,0
16,0,0
15,0,0
14,0,0
13,0,0
12,0,0
10,0,0
9,0,0
8,0,0
7,0,0
6,0,0
5,0,0
3,0,0
2,0,0
1,0,0
0,0,0
