red,green,blue
0,0,157
0,0,165
0,0,174
0,0,182
0,0,190
0,0,199
0,0,207
0,0,216
0,0,224
0,0,232
0,0,241
0,3,255
0,11,255
0,22,255
0,33,255
0,45,255
0,56,255
0,68,255
0,78,255
0,89,255
0,100,255
0,111,255
0,122,255
0,134,255
0,145,255
0,156,255
0,167,255
0,178,255
0,189,255
0,200,255
0,211,255
0,223,255
0,234,255
1,245,245
0,245,239
0,245,218
0,245,205
0,244,192
3,243,179
6,242,166
9,241,154
12,240,141
15,239,128
18,238,115
21,237,102
24,236,89
27,235,77
30,234,64
33,233,51
36,232,38
39,231,26
42,230,13
45,229,0
48,228,0
51,227,0
54,226,0
57,225,0
60,225,0
67,225,1
74,226,0
81,226,0
88,226,0
95,227,0
102,227,0
109,227,0
117,227,0
124,228,0
131,228,0
138,228,0
145,229,0
152,229,0
159,229,0
166,230,0
173,230,0
180,230,0
187,230,0
195,230,0
202,230,0
208,230,0
216,230,0
223,230,0
230,230,0
230,230,1
233,224,0
236,217,0
239,211,0
242,204,0
245,198,0
248,192,0
252,185,0
255,179,0
255,173,0
255,166,0
255,160,0
255,153,0
255,147,0
255,141,0
255,134,0
255,128,0
255,121,0
255,115,0
255,109,0
255,102,0
255,96,0
255,89,0
255,83,0
255,77,0
255,70,0
255,64,0
255,58,0
255,51,0
255,45,0
255,38,0
255,32,0
255,26,0
255,19,0
255,13,0
255,6,0
255,0,0
