red,green,blue
0,0,157
0,0,165
0,0,174
0,0,182
0,0,190
0,0,199
0,0,207
0,0,216
0,0,224
0,0,232
0,0,241
0,3,255
0,11,255
0,22,255
0,33,255
0,45,255
0,56,255
0,68,255
3,78,255
6,89,255
9,100,255
12,111,255
15,122,255
18,134,255
21,145,255
24,156,255
27,167,255
30,178,255
33,189,255
36,200,255
39,211,255
42,223,255
45,234,255
48,245,251
51,245,248
53,243,245
56,241,242
58,239,239
61,237,236
63,231,232
66,225,225
69,219,219
72,212,212
75,205,205
78,199,199
81,192,192
84,185,185
85,179,179
86,172,172
87,165,165
88,159,159
89,152,152
90,145,145
91,138,138
93,132,132
94,125,125
95,118,118
96,111,111
98,105,105
100,100,100
106,100,96
112,100,92
118,100,88
124,100,84
130,100,80
136,100,76
142,100,72
148,100,68
154,100,64
160,100,60
166,100,56
172,100,52
178,100,48
184,100,44
190,100,40
196,100,36
202,100,32
208,100,28
214,100,24
220,100,20
226,100,16
232,100,12
238,100,8
244,100,4
250,100,0
255,100,0
255,105,0
255,113,0
255,121,0
255,126,0
255,134,0
255,142,0
255,147,0
255,155,0
255,163,0
255,168,0
255,176,0
255,184,0
255,189,0
255,197,0
255,205,0
255,210,0
255,218,0
255,220,17
255,222,25
255,224,42
255,227,60
255,228,68
255,230,85
255,233,102
255,234,111
255,237,128
255,239,144
255,240,153
255,243,170
255,245,187
255,246,195
255,248,204
255,250,208
