red,green,blue
195,136,146
197,132,145
198,127,143
199,123,142
201,120,141
201,117,139
202,113,137
203,109,136
204,104,134
206,99,132
207,95,131
208,90,129
209,86,127
210,82,125
211,77,123
214,72,121
216,68,120
218,63,119
220,59,117
221,54,113
222,50,109
223,46,105
225,41,98
226,35,90
227,31,87
228,27,85
229,22,82
230,18,78
231,13,73
232,8,68
233,5,65
233,8,62
234,16,58
235,25,52
235,33,44
235,42,35
235,52,25
234,61,15
233,67,6
232,72,1
231,76,0
230,80,0
229,83,0
228,85,0
228,87,0
229,90,0
229,92,0
228,94,0
228,96,0
228,99,0
228,103,0
229,106,0
229,108,0
228,110,0
228,112,0
228,115,0
228,120,0
229,125,0
229,128,0
228,130,0
228,132,0
228,135,0
228,139,0
229,144,0
229,150,0
228,154,0
228,158,0
228,163,0
227,167,0
227,171,0
225,176,0
224,181,0
223,185,0
222,190,0
221,194,0
220,199,0
219,204,0
217,208,0
216,213,0
215,217,0
214,219,0
212,221,0
209,221,0
204,220,0
199,220,0
195,220,0
191,220,0
186,220,0
181,220,0
177,219,0
173,218,0
168,216,0
164,215,0
160,214,0
156,213,0
153,212,0
150,211,0
145,209,0
140,208,0
135,207,0
131,206,0
126,205,0
119,203,0
113,202,0
109,200,0
105,199,0
99,199,0
94,198,0
88,196,0
81,195,0
75,193,0
68,191,0
59,189,0
50,188,0
44,186,0
37,184,1
31,182,2
25,179,3
18,177,4
13,175,6
8,173,8
4,170,9
1,168,11
0,167,15
0,167,19
0,166,23
0,164,29
0,163,33
0,162,37
0,161,42
0,160,47
0,159,51
0,157,56
0,158,64
0,159,72
0,160,83
0,161,96
0,163,106
0,165,115
0,168,125
0,170,134
0,170,143
0,170,149
0,168,154
0,167,157
0,165,160
0,162,163
0,157,166
0,154,168
0,151,170
0,149,172
0,147,175
0,144,177
0,141,179
0,137,182
0,134,184
0,131,186
0,129,189
0,127,191
1,125,193
2,122,196
3,119,198
5,117,200
6,115,202
7,113,203
8,111,202
9,108,201
10,105,198
12,103,196
13,101,195
14,99,193
15,97,192
16,95,191
17,92,190
18,91,189
19,89,188
21,88,187
22,87,185
23,85,184
24,83,183
25,81,182
26,78,181
28,76,180
29,74,178
30,72,177
31,69,176
32,67,175
33,65,174
34,63,173
37,62,171
39,60,170
41,59,169
43,57,168
45,56,167
46,54,167
48,52,165
50,50,164
51,48,163
53,47,161
54,45,160
55,43,157
57,42,155
59,41,154
60,38,151
62,36,148
64,34,145
65,33,142
66,31,138
68,29,134
70,27,130
71,26,127
73,24,123
74,22,118
75,20,114
