red,green,blue
0,0,0
0,0,0
0,0,0
1,0,3
1,0,3
3,0,6
3,0,6
3,0,6
4,0,9
4,0,9
6,0,12
6,0,12
6,0,12
7,0,15
7,0,15
9,0,18
9,0,18
9,0,18
10,0,21
10,0,21
12,0,24
12,0,24
12,0,24
13,0,27
13,0,27
15,0,30
15,0,30
15,0,30
16,0,33
16,0,33
18,0,36
18,0,36
18,0,36
19,0,39
19,0,39
21,0,42
21,0,42
21,0,42
22,0,45
22,0,45
24,0,48
24,0,48
24,0,48
25,0,51
25,0,51
27,0,54
27,0,54
27,0,54
28,0,57
28,0,57
30,0,60
30,0,60
30,0,60
32,0,64
32,0,64
33,0,67
33,0,67
33,0,67
35,0,70
35,0,70
36,0,73
36,0,73
36,0,73
38,0,76
38,0,76
39,0,79
39,0,79
39,0,79
41,0,82
41,0,82
42,0,85
42,0,85
42,0,85
44,0,88
44,0,88
45,0,91
45,0,91
45,0,91
47,0,94
47,0,94
48,0,97
48,0,97
48,0,97
50,0,100
50,0,100
51,0,103
51,0,103
51,0,103
53,0,106
53,0,106
54,0,109
54,0,109
54,0,109
56,0,112
56,0,112
57,0,115
57,0,115
57,0,115
59,0,118
59,0,118
60,0,121
60,0,121
60,0,121
62,0,124
62,0,124
64,0,128
64,0,128
58,0,138
58,0,138
58,0,138
53,0,149
53,0,149
48,0,159
48,0,159
48,0,159
42,0,170
42,0,170
37,0,180
37,0,180
37,0,180
32,0,191
32,0,191
26,0,202
26,0,202
26,0,202
21,0,212
21,0,212
16,0,223
16,0,223
16,0,223
10,0,233
10,0,233
5,0,244
5,0,244
5,0,244
0,0,255
0,0,255
0,5,255
0,5,255
0,5,255
0,11,255
0,11,255
0,17,255
0,17,255
0,17,255
0,23,255
0,23,255
0,28,255
0,28,255
0,28,255
0,34,255
0,34,255
0,40,255
0,40,255
0,40,255
0,46,255
0,46,255
0,52,255
0,52,255
0,52,255
0,57,255
0,57,255
0,63,255
0,63,255
0,63,255
0,69,255
0,69,255
0,75,255
0,75,255
0,75,255
0,81,255
0,81,255
0,86,255
0,86,255
0,86,255
0,92,255
0,92,255
0,98,255
0,98,255
0,98,255
0,104,255
0,104,255
0,110,255
0,110,255
