red,green,blue
53,3,0
52,5,0
51,8,0
51,10,0
51,12,0
50,14,0
50,16,0
50,18,0
50,20,0
51,22,0
51,25,0
52,27,0
52,29,0
53,31,0
54,33,0
55,35,0
56,37,0
57,40,0
59,42,0
60,44,0
62,46,0
64,48,0
65,50,0
67,52,0
70,54,0
73,57,0
75,59,0
78,61,0
80,63,0
83,65,0
86,67,0
89,69,0
93,72,0
96,74,0
99,76,0
103,78,0
106,80,0
109,82,0
114,84,0
117,86,0
121,89,0
125,91,0
129,93,0
133,95,0
137,97,0
141,99,0
145,101,0
149,104,0
153,106,0
158,108,0
162,110,0
165,112,0
169,114,0
174,116,0
178,118,0
181,121,0
185,123,0
189,125,0
193,127,0
196,129,0
200,131,0
204,133,0
207,136,0
210,138,0
214,140,0
217,142,0
220,144,0
223,146,0
225,148,0
228,150,0
231,153,0
233,155,0
236,157,0
238,159,0
240,161,0
241,163,0
243,165,0
245,168,0
247,170,0
248,172,0
249,174,0
250,176,0
251,178,0
252,180,0
252,182,0
253,185,0
253,187,0
254,189,0
254,191,0
254,193,0
254,195,0
254,197,0
253,200,0
253,202,0
252,204,0
252,206,0
251,208,0
250,210,0
250,212,0
249,214,0
248,217,0
247,219,0
246,221,0
245,223,0
244,225,0
243,227,0
241,229,0
240,232,0
239,234,0
238,236,0
237,238,0
236,240,0
234,242,0
233,244,0
232,246,0
231,249,0
230,251,0
229,253,0
229,255,0
